Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/26/2018,Hobby Lobby,HOBBY-LOBBY #0078 SANTA FE NM,31.4,debit,Hobbies,Discover More Card,,
12/26/2018,Discover Bank Etransfer,Discover Bank Etransfer Sq. Nbr.: 0020717811,4270,debit,Credit Card Payment,Summit,,
12/26/2018,Check 10270 : Kaune's,Check 10270 Cashed,37.26,debit,Groceries,Summit,,
12/26/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMSLBLQZQWTA DIRECT MKTG INTERNET 320183600145578177,10.83,debit,Entertainment,Blue Cash,,
12/26/2018,Steam Games,STEAMGAMES.COM4259522,13.39,debit,Entertainment,MasterCard,,
12/25/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMS682F26HKA DIRECT MKTG INTERNET 320183590132332680,17.34,debit,Entertainment,Blue Cash,,
12/24/2018,Amazon,AMZN MKTP US*M24HL2SC0 AMZN.COM/BILLWAV921BJ8UBYN,94.02,debit,Shopping,Discover More Card,,
12/24/2018,Cash Back Reward,CREDIT-CASH BACK REWARD,192.06,credit,Credit Card Payment,MasterCard,,
12/24/2018,Your Cash Reward,YOUR CASH REWARD/REFUND IS 320183580127925042,100.82,credit,Credit Card Payment,Blue Cash,,
12/24/2018,Check 10265 : David Solem,Check 10265 Cashed,200,debit,Doctor,Summit,,
12/24/2018,Santa Fe New Mexican,SANTA FE NEW MEXICAN,16,debit,Newspapers & Magazines,VentureOne,,
12/23/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMS680WBQSBA DIRECT MKTG INTERNET 320183570098989951,1.07,debit,Entertainment,Blue Cash,,
12/23/2018,"Home Depot, shelves",THE HOME DEPOT SANTA FE NM12220350352 800-654-0688 320183570097245726,110.4,debit,Home Improvement,Blue Cash,,
12/23/2018,CenturyLink,CENTURYLINK/SPEEDPAY 800-244-1111 LA88027914,53.68,debit,Internet,Discover More Card,,
12/22/2018,Amazon,AMZN MKTP US*M25AX0DC0 AMZN.COM/BILLWA2MT9XIU52QW,26.89,debit,Shopping,Discover More Card,,
12/22/2018,Allsups Allsups,ALLSUPS 336 10108843SANTA FE NM6493337304 ALLSUPS 336 320183560093614593,29.86,debit,Gas & Fuel,Blue Cash,,
12/22/2018,Albertsons,ALBERTSONS MARKET 92SANTA FE NM0125684 505-982-4668 320183560083362715,302.1,debit,Groceries,Blue Cash,,
12/22/2018,Marias,#112 MARIAS 0077 SANTA FE NM9855 505-424-1882 320183560089125183,100.83,debit,Work Reimbursable,Blue Cash,Reimbursable,
12/21/2018,Cost Plus World Market,COST PLUS # 397 SANTA FE NM,193.36,debit,Furnishings,Discover More Card,,
12/21/2018,American Airlines,AMERICAN AIRLINES 45800-433-73020181221 AA.COM 320183550064801986,238.52,debit,Work Reimbursable,Blue Cash,Reimbursable,
12/21/2018,Donation Prx Radioto,DONATION PRX RADIOTOAPPLETON WIOPSNT_EC0GS 8882048792 320183550075075100,4,debit,Charity,Blue Cash,,
12/21/2018,United Airlines,UNITED AIRLINES HOUSTON TX35491275 WWW.UNITED.COM 320183550065779051,232.8,debit,Work Reimbursable,Blue Cash,Reimbursable,
12/21/2018,Audible.com,Audible audible.com NJ7JTHYU7YHAR AUDIO BOOKS 320183550059210528,15.72,debit,Books,Blue Cash,,
12/21/2018,United Airlines,UNITED AIRLINES HOUSTON TX35583859 WWW.UNITED.COM 320183550065010481,9,debit,Work Reimbursable,Blue Cash,Reimbursable,
12/21/2018,Ba.com Usa Usa,BA.COM USA USAV4MIJD www.ba.com 320183550065772837,987,debit,Work Reimbursable,Blue Cash,Reimbursable,
12/21/2018,Expedia,EXPEDIA 739939942148EXPEDIA.COMIJ93ROUZ7 0 EC2R8A 320183550062911849,1861.84,debit,Work Reimbursable,Blue Cash,Reimbursable,
12/21/2018,Transfer from ONLINE SAVINGS,Transfer From ONLINE SAVINGS 3934,500,credit,Transfer,CASHBACK DEBIT,,
12/21/2018,Ncs Ged Exam,NCS*GED EXAM,20,debit,Education,MasterCard,,
12/21/2018,Kaune Neighborhood,KAUNE'S NEIGHBORHOOD,14.77,debit,Groceries,MasterCard,,
12/20/2018,Ged Exam Mn,GED EXAM 800-511-3478 MN275795780 TESTING 320183540039238897,40,debit,Education,Blue Cash,,
12/20/2018,Ged Exam Mn,GED EXAM 800-511-3478 MN275795740 TESTING 320183540039110342,20,debit,Education,Blue Cash,,
12/20/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMS67TKGTYNA DIRECT MKTG INTERNET 320183540040352098,3.24,debit,Entertainment,Blue Cash,,
12/20/2018,Kohnami,KOHNAMI RESTAURANT 0SANTA FE NM611701193 5059842002 320183540056525168,38.5,debit,Restaurants,Blue Cash,,
12/20/2018,Amazon,AMZN MKTP US*M29TQ55AMZN.COM/BI71A49JIFJXS BOOK STORES 320183540051638969,54.98,debit,Shopping,Blue Cash,,
12/20/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMS67TF9SDWA DIRECT MKTG INTERNET 320183540040338617,3.24,debit,Entertainment,Blue Cash,,
12/20/2018,Amazon,AMZN MKTP US*M266R7122 AMZN.COM/BILLWA7GKCD4DLG3Y,21.01,debit,Shopping,Discover More Card,,
12/19/2018,ATM Fee,Atm Withdrawal 700 Paseo De Peral 700 Paseo De Peral Santa Fe Nm Us,3,debit,ATM Fee,Summit,,
12/19/2018,ATM Withdrawal,Atm Withdrawal 700 Paseo De Peral 700 Paseo De Peral Santa Fe Nm Us,300,debit,Cash & ATM,Summit,,
12/19/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMS67Q8SGYNA DIRECT MKTG INTERNET 320183530022728143,16.25,debit,Entertainment,Blue Cash,,
12/19/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMQ4S38VM9BA DIRECT MKTG INTERNET 320183530022765079,10.83,debit,Entertainment,Blue Cash,,
12/19/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMS67QZX62KA DIRECT MKTG INTERNET 320183530022323937,3.24,debit,Entertainment,Blue Cash,,
12/19/2018,Hulu,HLU*HULU 15247219760HULU.COM/BI3:281509536 HULU.COM/BILL 320183530029973442,11.99,debit,Entertainment,Blue Cash,,
12/19/2018,Lyft,LYFT *RIDE MON 6PM,6.87,debit,Lyft,MasterCard,,
12/19/2018,Subway,SUBWAY 00227918,9.95,debit,Restaurants,MasterCard,,
12/19/2018,City Sf Parking,CITY OF SF PARKING ADM,2,debit,Parking,MasterCard,,
12/18/2018,Kaf Baker Catalog,KAF*BAKER'S CATALOG,122.73,debit,Shopping,VentureOne,,
12/18/2018,Santa Fe Hemp LLC,SANTA FE HEMP SANTA FE NM,15.18,debit,Shopping,Discover More Card,,
12/18/2018,Santa Fe Hemp LLC,SANTA FE HEMP SANTA FE NM,43.91,debit,Shopping,Discover More Card,,
12/18/2018,Grommet Mync Yct,THE GROMMET SOMERVILLE MAMYNC5YCT 8778620222 320183520002302357,18.94,debit,Shopping,Blue Cash,,
12/18/2018,Grommet Qcqy,THE GROMMET SOMERVILLE MA2QCQY28S 8778620222 320183520002122302,42.49,debit,Shopping,Blue Cash,,
12/18/2018,Doodlets,DOODLETS SANTA FE NM,104.41,debit,Shopping,Discover More Card,,
12/18/2018,Shake Foundation,SHAKE FOUNDATION SANTA FE NM,23.64,debit,Restaurants,Discover More Card,,
12/18/2018,Jpmorgan Chase Ext,Jpmorgan Chase Ext Trnsfr Sq. Nbr.: 0020575722,1444.36,debit,Transfer,Summit,,
12/18/2018,Squ Modern General,SQU*SQ *MODERN GENERAL,205.71,debit,Shopping,MasterCard,,
12/17/2018,Susans Fine Wine,SUSANS FINE WINE ANDSANTA FE NM32173928350 LIQUOR STORE 320183510992959678,152.86,debit,Alcohol & Bars,Blue Cash,,
12/17/2018,Ohoris Coffee Tea,OHORIS COFFEE TEA & SANTA FE NM85482988350 USFC87505 320183510994833443,24.61,debit,Coffee Shops,Blue Cash,,
12/17/2018,Check 10263 : Amex,Check 10263 Cashed,3681,debit,Credit Card Payment,Summit,,
12/17/2018,Check 10264 : PHH,Check 10264 Cashed,2000,debit,Mortgage & Rent,Summit,,
12/17/2018,Deposit,Check Deposit,20,credit,Income,Summit,,
12/17/2018,Kaune Neighborhood,KAUNE'S NEIGHBORHOOD,25.86,debit,Groceries,MasterCard,,
12/17/2018,Cashback Bonus Redemption,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,87.66,credit,Bonus,Discover More Card,,
12/16/2018,Amazon,AMAZON.COM*M25VY1JT1 AMZN.COM/BILLWA47PJI64J58H,147.12,debit,Shopping,Discover More Card,,
12/16/2018,Amazon,AMZN MKTP US*M226B73Z0 AMZN.COM/BILLWA5MGWZHBEWCM,77.83,debit,Shopping,Discover More Card,,
12/16/2018,Del Charro,DEL CHARRO 650000005SANTA FE NM10156320181 5059540320 320183500964101976,14.76,debit,Restaurants,Blue Cash,,
12/16/2018,Received Thank You,PAYMENT RECEIVED - THANK YOU 320183500978244224,3681,credit,Credit Card Payment,Blue Cash,,
12/16/2018,Tonic,TONIC 65000000967413SANTA FE NM10156320181 5056037612 320183500963917628,58.8,debit,Restaurants,Blue Cash,,
12/15/2018,Amazon,AMAZON.COM*M294V8ZP1 AMZN.COM/BILLWA2O5SVP6HSVB,29.9,debit,Shopping,Discover More Card,,
12/15/2018,Amazon,AMAZON.COM*M255Z0N01 AMZN.COM/BILLWA63QZZGR0JET,15.45,debit,Shopping,Discover More Card,,
12/15/2018,Amazon Kindle,KINDLE UNLTD*M023M1R866-321-8853R4WXTCUQ2H DIGITAL 320183490958620074,10.5,debit,Books,Blue Cash,,
12/14/2018,Christus St Vincent Hospital,CHRISTUS ST VINCENT REGI,125,debit,Doctor,VentureOne,,
12/14/2018,Lyft,LYFT *RIDE THU 6PM 855-280-0278 CA,5.76,debit,Lyft,Discover More Card,,
12/14/2018,Amazon,AMZN MKTP US*M22D934H0 AMZN.COM/BILLWA4XL4KNAJ249,15.95,debit,Shopping,Discover More Card,,
12/14/2018,Sub Washpost,SUB*WASHPOST*010085102 800-477-4679 DC0010066TYW,15,debit,Subscriptions,Discover More Card,,
12/14/2018,Burrito Spot,BURRITO SPOT LLC 027SANTA FE NM00010059 505-820-0779 320183480942853460,10.68,debit,Restaurants,Blue Cash,,
12/14/2018,Numerix Llc Payroll,Numerix Llc Payroll Sq. Nbr.: 0020496389,7960.33,credit,Paycheck,Summit,,
12/14/2018,Subway,SUBWAY 00227918,9.95,debit,Restaurants,MasterCard,,
12/14/2018,Lyft,LYFT *RIDE MON 6PM,8.77,debit,Lyft,MasterCard,,
12/14/2018,Purl Soho,PAYPAL *PURL SOHO,101,debit,Hobbies,MasterCard,,
12/13/2018,Albertsons,ALBERTSONS MARKET,124.43,debit,Groceries,VentureOne,,
12/13/2018,Amazon,AMAZON.COM*M26637O90AMZN.COM/BI1CWY470TAM4 MERCHANDISE 320183470906728032,32.93,debit,Shopping,Blue Cash,,
12/13/2018,Amazon,AMAZON.COM*M246R8OS0AMZN.COM/BIL6PW9NX7TIE MERCHANDISE 320183470906728162,14.2,debit,Shopping,Blue Cash,,
12/13/2018,Amazon,AMAZON.COM*M01078UX2AMZN.COM/BI2L6TXN2M173 MERCHANDISE 320183470906840797,14.77,debit,Shopping,Blue Cash,,
12/13/2018,Target,TARGET 00010348,11.42,debit,Shopping,MasterCard,,
12/12/2018,Phillips 66,PHILLIPS 66 - ALLSUPS 345,27.22,debit,Gas & Fuel,VentureOne,,
12/12/2018,Whole Foods,WHOLEFDS CER 10104 SANTA FE NM,224.77,debit,Groceries,Discover More Card,,
12/12/2018,Lyft,LYFT *RIDE TUE 6PM 855-280-0278 CA,6.32,debit,Lyft,Discover More Card,,
12/12/2018,Kohnami Restaurant,KOHNAMI RESTAURANT 0SANTA FE NM560601351 5059842002 320183460904553100,31.58,debit,Restaurants,Blue Cash,,With Karen
12/12/2018,Transfer to ONLINE SAVINGS,Discover Bank Etransfer Sq. Nbr.: 0020480006,1500,debit,Transfer,Summit,,
12/12/2018,Capital One Online,Capital One Online Pmt Sq. Nbr.: 0020479563,67,debit,Credit Card Payment,Summit,,
12/12/2018,Ea Origin.com Help,EA *ORIGIN.COM HELP.EA.COM CAHCEQUAH,6.99,debit,Entertainment,Discover More Card,,
12/12/2018,Electronic Arts,EA *ELECTRONIC ARTS HELP.EA.COM CAHCELSPR,34.98,debit,Entertainment,Discover More Card,,
12/12/2018,City Sf Parking,CITY OF SF PARKING ADM,1.75,debit,Parking,MasterCard,,
12/11/2018,Capital One Online,CAPITAL ONE ONLINE PYMT AuthDate 11-D ec,67,credit,Credit Card Payment,VentureOne,,
12/11/2018,Lyft,LYFT *RIDE TUE 5PM 855-280-0278 CA,9.2,debit,Lyft,Discover More Card,,
12/11/2018,Burrito Company,BURRITO COMPANY 4039SANTA FE NM73011758344 (505)982-4453 320183450884030434,19.6,debit,Restaurants,Blue Cash,,
12/11/2018,Check 10261 : PNM,Check 10261 Cashed,55,debit,Bills & Utilities,Summit,,
12/11/2018,Check 10260 : NM Gas,Check 10260 Cashed,78,debit,Bills & Utilities,Summit,,
12/11/2018,Amazon,AMZN MKTP US*M01TN7UW2 AMZN.COM/BILLWA6UOKPPQH9GM,29.07,debit,Shopping,Discover More Card,,
12/11/2018,Amazon,AMAZON.COM*M07VX3U90 AMZN.COM/BILLWA3AK01IR0I9Q,24.91,debit,Shopping,Discover More Card,,
12/10/2018,Wendy's,WENDY'S 12097,2.8,debit,Restaurants,VentureOne,,
12/10/2018,Whole Foods,WHOLEFDS CER 10104,67.17,debit,Groceries,MasterCard,,
12/10/2018,Amazon,AMZN MKTP US*M07RS8IAMZN.COM/BI2GWDSCOTCQ3 BOOK STORES 320183440855236038,29.5,debit,Shopping,Blue Cash,,
12/10/2018,Skarsgard Farms,SKARSGARD FARMS 0267ALBUQUERQUE60830133 505-681-5286 320183440861364044,51.79,debit,Groceries,Blue Cash,,
12/10/2018,ATM Fee Refund,Atm Fee Rebate,3,credit,ATM Fee,Summit,,
12/10/2018,Interest Deposit December,Interest Deposit December 2018,6.98,credit,Interest Income,Summit,,
12/10/2018,Transfer to Discover More Card,Discover Payments Sq. Nbr.: 0020438012,4865.27,debit,Credit Card Payment,Summit,,
12/09/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMSL9SY629XA DIRECT MKTG INTERNET 320183430837435383,16.25,debit,Entertainment,Blue Cash,,
12/09/2018,Amazon Kindle,KINDLE SVCS*M03MU3K7866-321-885KE34NKSH6W7 DIGITAL 320183430848028550,8.4,debit,Books,Blue Cash,,
12/09/2018,Carl's Jr,CARLS JR 1207N Q 085SANTA FE NM0000000008 505-471-7794 320183430846015898,3.57,debit,Restaurants,Blue Cash,,
12/09/2018,Rio Chama Steak,#109 RIO CHAMA STEAKSANTA FE NM5062 505-955-0765 320183430843712712,284.49,debit,Restaurants,Blue Cash,,
12/09/2018,McDonald's,MCDONALD'S F31442 00SANTA FE NM000091262 5059841490 320183430845669138,6.16,debit,Restaurants,Blue Cash,,
12/09/2018,Amazon,AMAZON.COM*M08C35D42AMZN.COM/BI4ZMDYYDWGEM MERCHANDISE 320183430840204326,28.27,debit,Shopping,Blue Cash,,
12/09/2018,Transfer from Summit,DIRECTPAY FULL BALANCE,4865.27,credit,Credit Card Payment,Discover More Card,,
12/08/2018,Target,TARGET        00010348,487.37,debit,Shopping,VentureOne,,
12/08/2018,The Reel Life Ltd Co,THE REEL LIFE (RETAIL),96.51,debit,Sporting Goods,VentureOne,,
12/08/2018,McDonald's,MCDONALD'S F31442,16.88,debit,Restaurants,VentureOne,,
12/08/2018,505 Driving School,SQ *505 SANTA FE SC,150,debit,Education,VentureOne,,
12/08/2018,Kaune Neighborhood,KAUNE'S NEIGHBORHOOD,20.58,debit,Groceries,MasterCard,,
12/07/2018,Santa Fe Playhouse,SANTA FE PLAYHOUSE,150,debit,Arts,VentureOne,,
12/07/2018,Violet Crown Cinema,VIOLET CROWN CINEMA SANTA,200,debit,Entertainment,VentureOne,,
12/07/2018,Gilded Page,THE GILDED PAGE,58.4,debit,Books,VentureOne,,
12/07/2018,Las Cosas Kitchen,LAS COSAS KITCHEN SHOPPE,231.28,debit,Furnishings,VentureOne,,
12/07/2018,Fortessa Tableware Soluti,FORTESSA TABLEWARE SOLUTI,219.9,debit,Furnishings,VentureOne,,
12/07/2018,Santa Fe Playhouse,SANTA FE PLAYHOUSE,80,debit,Arts,VentureOne,,
12/07/2018,On Your Feet Inc.,ON YOUR FEET #2,202.78,debit,Clothing,VentureOne,,
12/07/2018,Santa Fe Playhouse,SANTA FE PLAYHOUSE,90,debit,Arts,VentureOne,,
12/07/2018,ATM Fee,Atm Withdrawal 700 Paseo De Peral 700 Paseo De Peral Santa Fe Nm Us,3,debit,ATM Fee,Summit,,
12/07/2018,ATM Withdrawal,Atm Withdrawal 700 Paseo De Peral 700 Paseo De Peral Santa Fe Nm Us,160,debit,Cash & ATM,Summit,,
12/07/2018,Amazon,AMZN MKTP US AMZN.COM/BILL WA45L7OMDJJV7 DIRECT MKTG MISC 320183410810896690,105.99,credit,Shopping,Blue Cash,,
12/07/2018,Jpmorgan Chase Auth,Jpmorgan Chase Auth Crdt Sq. Nbr.: 0020397899,0.44,credit,Finance Charge,Summit,,
12/07/2018,Check 10259 : David Solem,Check 10259 Cashed,100,debit,Doctor,Summit,,
12/07/2018,Karmesin Steve R,Karmesin Steve R Transfer Sq. Nbr.: 0020396881,2000,debit,Transfer,Summit,,
12/07/2018,Jpmorgan Chase Auth,Jpmorgan Chase Auth Debit Sq. Nbr.: 0020397981,0.85,debit,Finance Charge,Summit,,
12/07/2018,Jpmorgan Chase Auth,Jpmorgan Chase Auth Crdt Sq. Nbr.: 0020397898,0.41,credit,Finance Charge,Summit,,
12/07/2018,Sfcc Food Service,SFCC FOOD SERVICE,2.18,debit,Restaurants,MasterCard,,
12/06/2018,Garnet Hill,GAR*GARNET HILL,3.6,credit,Shopping,VentureOne,,
12/06/2018,American Express,Amex Epayment Ach Pmt Sq. Nbr.: 0020351548,74,debit,Credit Card Payment,Summit,,
12/06/2018,Ohoris Coffee Tea,OHORIS COFFEE TEA & SANTA FE NM85482988340 USFC87505 320183400797463752,18.81,debit,Coffee Shops,Blue Cash,,
12/06/2018,Walgreens,WALGREENS #2900,27.09,debit,Other,MasterCard,,Dog treats
12/05/2018,Online Payment,ONLINE PAYMENT - THANK YOU 320183390778699532,74,credit,Credit Card Payment,Amex EveryDay Card,,
12/05/2018,Shell,SHELL OIL 53078960084,38.73,debit,Gas & Fuel,VentureOne,,
12/05/2018,Albertsons,ALBERTSONS MARKET,141.06,debit,Groceries,VentureOne,,
12/05/2018,Amazon,AMZN MKTP US AMZN.COM/BILLWA2HTOVKLRKCM,86,credit,Shopping,Discover More Card,,
12/05/2018,Liberty Mutual,Liberty Mutual Payment Sq. Nbr.: 0020326717,280.67,debit,Auto Insurance,Summit,,
12/05/2018,iTunes,WWW.ITUNES.COM/BILL CUPERTINO CAMS66HFM7QNA DIRECT MKTG INTERNET 320183390765983797,18.41,debit,Entertainment,Blue Cash,,
12/05/2018,Sfcc Food Service,SFCC FOOD SERVICE,6.45,debit,Restaurants,MasterCard,,
12/05/2018,Lyft,LYFT *RIDE MON 6PM,6.92,debit,Lyft,MasterCard,,
12/04/2018,Check 10257 : Capital One,Check 10257 Cashed,2596.75,debit,Credit Card Payment,Summit,,
12/04/2018,Check 10258 : Capital One 2,Check 10258 Cashed,37,debit,Credit Card Payment,Summit,,
12/04/2018,Railyard Fitness,RAILYARD FITNESS 436SANTA FE NM73011008337 5059837909 320183380761476746,85.57,debit,Gym,Blue Cash,,
12/04/2018,Amazon,AMAZON.COM*M08T73BE1 AMZN.COM/BILLWA3Z32LQIYH38,56.64,debit,Shopping,Discover More Card,,
12/03/2018,Company Store,TCS*COMPANY STORE,210.37,debit,Furnishings,VentureOne,,
12/03/2018,Albertsons,ALBERTSONS MARKET,87.15,debit,Groceries,VentureOne,,
12/03/2018,Check 10262 : Carmax,Check 10262 Cashed,179.48,debit,Auto Payment,Summit,,
12/03/2018,Amazon,AMZN MKTP US*M08LX0HAMZN.COM/BI4UH99BDBU7A BOOK STORES 320183370740236749,105.99,debit,Shopping,Blue Cash,,
12/03/2018,"Home Depot, shelves",THE HOME DEPOT SANTA FE NM12020350312 800-654-0688 320183370727301419,42.79,debit,Home Improvement,Blue Cash,,
12/03/2018,Skarsgard Farms,SKARSGARD FARMS 0267ALBUQUERQUE60870109 505-681-5286 320183370734531672,49.56,debit,Groceries,Blue Cash,,
12/03/2018,Lyft,LYFT *RIDE MON 10AM 855-280-0278 CA,7.76,debit,Lyft,Discover More Card,,
12/03/2018,New York Times,NEW YORK TIMES DIGITAL 800-698-4637 NY5F4FAA978B3F,25,debit,Subscriptions,Discover More Card,,
12/03/2018,Amazon,AMZN MKTP US*M07T96BI1 AMZN.COM/BILLWA1JCTCOUWTAJ,17.99,debit,Shopping,Discover More Card,,
12/03/2018,Lyft,LYFT *RIDE MON 11AM 855-280-0278 CA,9.25,debit,Lyft,Discover More Card,,
12/03/2018,Amazon,AMZN MKTP US*M056Y5560 AMZN.COM/BILLWALP06JG3U610,60.98,debit,Shopping,Discover More Card,,
12/03/2018,Apple,APL*APPLE ONLINE STORE,277.55,debit,Electronics & Software,MasterCard,,
12/03/2018,Steve Flores,Steve Flores Karate Ac,81.23,debit,Gym,MasterCard,,
12/03/2018,Sfcc Food Service,SFCC FOOD SERVICE,2.18,debit,Restaurants,MasterCard,,
12/03/2018,Kaune Neighborhood,KAUNE'S NEIGHBORHOOD,12.36,debit,Groceries,MasterCard,,
12/03/2018,Steve Flores,Steve Flores Karate Ac,50,debit,Gym,MasterCard,,
12/02/2018,Delancey Street New,DELANCEY STREET NEW OHKAY OWING19800116 415-512-5173 320183360722413929,106.7,debit,Shopping,Blue Cash,,
12/02/2018,Amazon,AMAZON.COM*M00J87V90 AMZN.COM/BILLWA3S2HE06JQ12,31.43,debit,Shopping,Discover More Card,,
12/02/2018,Amazon,AMZN MKTP US*M020P1VD0 AMZN.COM/BILLWA3MUHZ85SAAS,39.95,debit,Shopping,Discover More Card,,
12/02/2018,Amazon,AMAZON.COM*M098S1581 AMZN.COM/BILLWA72X59B6SP8C,80.93,debit,Shopping,Discover More Card,,
12/01/2018,Payment,PAYMENT,37,credit,Credit Card Payment,VentureOne,,
12/01/2018,Verizon Wireless,VZW APOCC 800-922-0204 FLW0000001501VZWIRELESS 320183350696639821,363.74,debit,Mobile Phone,Blue Cash,,
12/01/2018,Sfcc Food Service,SFCC FOOD SERVICE,2.98,debit,Restaurants,MasterCard,,
12/01/2018,Payment,PAYMENT,2596.75,credit,Credit Card Payment,MasterCard,,
12/01/2018,Sfcc Food Service,SFCC FOOD SERVICE,5.82,debit,Restaurants,MasterCard,,
11/30/2018,Numerix Llc Payroll,Numerix Llc Payroll Sq. Nbr.: 0020199647,5981.29,credit,Paycheck,Summit,,
11/30/2018,Numerix Llc Cafeteria,Numerix Llc Cafeteria Sq. Nbr.: 0020235596,257.77,credit,Income,Summit,,
11/30/2018,Numerix Llc Payroll,Numerix Llc Payroll Sq. Nbr.: 0020199648,6233.34,credit,Paycheck,Summit,,
11/30/2018,Amazon,AMZN MKTP US AMZN.COM/BILL WA67UC6525A2R DIRECT MKTG MISC 320183340686680416,18.7,credit,Shopping,Blue Cash,,
11/30/2018,Slate,SLATE SLATE PLUS WASHINGTON DCRJKJGWDM 212-445-5330 320183340684941313,59,debit,Subscriptions,Blue Cash,,
11/30/2018,Sfcc Food Service,SFCC FOOD SERVICE,6.45,debit,Restaurants,MasterCard,,
11/29/2018,Forever 21,FOREVER 21 INC,49.82,debit,Clothing,VentureOne,,
11/29/2018,Check 10256,Check 10256 Cashed,140,debit,Check,Summit,,
11/29/2018,Burrito Spot,BURRITO SPOT LLC 027SANTA FE NM00060039 505-820-0779 320183330669149503,10.68,debit,Restaurants,Blue Cash,,
11/29/2018,Netflix,NETFLIX.COM 866-579-7172 CA25517662039 SUBSCRIPTION 320183330657952726,11.92,debit,Subscriptions,Blue Cash,,
11/29/2018,Lyft,LYFT *RIDE WED 6PM 855-280-0278 CA,6.48,debit,Lyft,Discover More Card,,
11/29/2018,Amazon,AMAZON.COM*M04QG60F0 AMZN.COM/BILLWA6OEJ6ZM12XJ,5.25,debit,Shopping,Discover More Card,,
11/29/2018,Amazon,AMZN MKTP US*M019H9EF2 AMZN.COM/BILLWA767WPFNMR0Y,11.99,debit,Shopping,Discover More Card,,
11/29/2018,Amazon,AMZN MKTP US*M00EO2AQ2 AMZN.COM/BILLWA59LPAKKVXPS,16.99,debit,Shopping,Discover More Card,,
11/29/2018,Bumble Bees Baja Grill,BUMBLEBEES BAJA GRILL,29.6,debit,Restaurants,MasterCard,,
11/28/2018,Santa Fe New Mexican,SANTA FE NEW MEXICAN,16,debit,Newspapers & Magazines,VentureOne,,
11/28/2018,Saigon Cafe,SAIGON CAFE,38.35,debit,Restaurants,VentureOne,,
11/28/2018,Lyft,LYFT *RIDE TUE 6PM 855-280-0278 CA,6.71,debit,Lyft,Discover More Card,,
11/28/2018,Amazon,AMAZON.COM*M08S47TW0AMZN.COM/BI4Z7P5RYXM76 MERCHANDISE 320183320648663311,13.59,debit,Shopping,Blue Cash,,
11/28/2018,Subway,SUBWAY 00227918,9.95,debit,Restaurants,MasterCard,,
11/28/2018,Sfcc Food Service,SFCC FOOD SERVICE,7.44,debit,Restaurants,MasterCard,,
